subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
1,human,human,np_10,alph_1,succ,4.0,gyik
1,human,human,np_10,alph_5,add_letter,9.0,fgrij
1,human,human,np_10,alph_3,attn,9.0,aaaa
1,human,human,np_10,alph_0,fix_alphabet,3.0,elgai
1,human,human,np_10,alph_2,remove_redundant,7.0,vhefg
1,human,human,np_10,alph_6,sort,7.0,qytpr
1,human,human,np_10,alph_4,pred,1.0,g c d e
1,human,human,np_5,alph_0,add_letter,2.0,bqpur
1,human,human,np_5,alph_5,succ,9.0,uywv
1,human,human,np_5,alph_4,pred,6.0,qstu
1,human,human,np_5,alph_3,attn,9.0,a a a a
1,human,human,np_5,alph_1,fix_alphabet,7.0,dofgi
1,human,human,np_5,alph_2,sort,3.0,ogfji
1,human,human,np_5,alph_6,remove_redundant,2.0,ghijr
1,human,human,np_symb,symb_1,pred,5.0,!)<A
1,human,human,np_symb,symb_0,succ,4.0,* @ = <
2,human,human,np_20,alph_4,pred,5.0,n
2,human,human,np_20,alph_6,succ,9.0,l
2,human,human,np_20,alph_0,add_letter,9.0,i
2,human,human,np_20,alph_2,attn,7.0,aaa
2,human,human,np_20,alph_5,fix_alphabet,9.0,khlw
2,human,human,np_20,alph_1,remove_redundant,0.0,ooflu
2,human,human,np_20,alph_3,sort,3.0,jmxuq
2,human,human,np_symb,symb_1,succ,1.0,&>$!&
2,human,human,np_symb,symb_0,pred,7.0,* @ = &> &
2,human,human,np_1,alph_1,fix_alphabet,1.0,o d e f g h
2,human,human,np_1,alph_2,sort,7.0,a d c b e f
2,human,human,np_1,alph_5,attn,2.0,aaa
2,human,human,np_1,alph_4,pred,3.0,g h i j k
2,human,human,np_1,alph_3,remove_redundant,3.0,n o o p q r p
2,human,human,np_1,alph_6,succ,1.0,e f g h i
2,human,human,np_1,alph_0,add_letter,5.0,t u v w x
3,human,human,np_symb,symb_0,succ,0.0,) * @&
3,human,human,np_symb,symb_1,pred,8.0,&$!+)
3,human,human,np_2,alph_0,add_letter,4.0,u c d e f 
3,human,human,np_2,alph_3,fix_alphabet,5.0,b w x q z
3,human,human,np_2,alph_2,attn,2.0,a a a a
3,human,human,np_2,alph_1,pred,4.0,h j k b
3,human,human,np_2,alph_6,remove_redundant,8.0,t u v w x
3,human,human,np_2,alph_5,succ,1.0,h i j f
3,human,human,np_2,alph_4,sort,5.0,m n o p q
3,human,human,np_1,alph_5,add_letter,9.0,o p q r s
3,human,human,np_1,alph_6,sort,8.0,s p r q o
3,human,human,np_1,alph_0,fix_alphabet,2.0,y q r i t
3,human,human,np_1,alph_1,attn,9.0,a a a a
3,human,human,np_1,alph_3,remove_redundant,2.0,o p q r s
3,human,human,np_1,alph_2,succ,1.0,p q r t
3,human,human,np_1,alph_4,pred,7.0,u w x y
4,human,human,np_symb,symb_1,pred,6.0,)@=*
4,human,human,np_symb,symb_0,succ,8.0,)*@&
4,human,human,np_10,alph_3,add_letter,6.0,amcpz
4,human,human,np_10,alph_1,pred,1.0,prsu
4,human,human,np_10,alph_5,succ,4.0,nhqs
4,human,human,np_10,alph_6,sort,2.0,nhpqt
4,human,human,np_10,alph_0,remove_redundant,2.0,oghin
4,human,human,np_10,alph_4,fix_alphabet,4.0,phnsj
4,human,human,np_10,alph_2,attn,9.0,aaaa
4,human,human,np_2,alph_6,add_letter,2.0,dmfgh
4,human,human,np_2,alph_1,succ,3.0,efgi
4,human,human,np_2,alph_0,attn,2.0,aaaa
4,human,human,np_2,alph_3,remove_redundant,8.0,fghij
4,human,human,np_2,alph_4,fix_alphabet,1.0,ecghi
4,human,human,np_2,alph_2,pred,5.0,qwtu
4,human,human,np_2,alph_5,sort,4.0,lghij
5,human,human,np_2,alph_6,attn,4.0,aaaa
5,human,human,np_2,alph_4,sort,8.0,kjlmn
5,human,human,np_2,alph_1,remove_redundant,4.0,alcde
5,human,human,np_2,alph_5,succ,2.0,uvwy
5,human,human,np_2,alph_2,add_letter,4.0,nopgr
5,human,human,np_2,alph_3,fix_alphabet,6.0,pvwoq
5,human,human,np_2,alph_0,pred,8.0,ppqr
5,human,human,np_symb,symb_1,succ,0.0,+)<@=
5,human,human,np_symb,symb_0,pred,3.0,*=&<
5,human,human,np_20,alph_3,add_letter,3.0,qnyak
5,human,human,np_20,alph_6,fix_alphabet,1.0,mtisb
5,human,human,np_20,alph_4,pred,0.0,cezb
5,human,human,np_20,alph_0,sort,0.0,xcivm
5,human,human,np_20,alph_2,attn,2.0,aaaa
5,human,human,np_20,alph_1,remove_redundant,6.0,fluvp
5,human,human,np_20,alph_5,succ,0.0,nxyz
6,human,human,np_symb,symb_1,pred,7.0,&$!+
6,human,human,np_symb,symb_0,succ,5.0,=&<!
6,human,human,np_1,alph_1,sort,5.0,tusqr
6,human,human,np_1,alph_5,succ,5.0,defh
6,human,human,np_1,alph_2,add_letter,6.0,ghijk
6,human,human,np_1,alph_4,fix_alphabet,5.0,werst
6,human,human,np_1,alph_3,attn,0.0,fghj
6,human,human,np_1,alph_0,pred,5.0,kmno
6,human,human,np_1,alph_6,remove_redundant,2.0,abcde
6,human,human,np_2,alph_6,fix_alphabet,5.0,lenop
6,human,human,np_2,alph_3,add_letter,2.0,jklmn
6,human,human,np_2,alph_0,pred,8.0,npqr
6,human,human,np_2,alph_1,sort,1.0,alcde
6,human,human,np_2,alph_5,remove_redundant,4.0,jkfmn
6,human,human,np_2,alph_4,succ,1.0,fdeg
6,human,human,np_2,alph_2,attn,4.0,aaaa
7,human,human,np_1,alph_2,add_letter,0.0,nopqr
7,human,human,np_1,alph_6,pred,9.0,Vxyz
7,human,human,np_1,alph_4,sort,2.0,abcde
7,human,human,np_1,alph_1,remove_redundant,0.0,defgh
7,human,human,np_1,alph_3,attn,2.0,aaaa
7,human,human,np_1,alph_5,succ,7.0,ghik
7,human,human,np_1,alph_0,fix_alphabet,7.0,bcdef
7,human,human,np_5,alph_0,sort,4.0,defgh
7,human,human,np_5,alph_1,fix_alphabet,4.0,qxstu
7,human,human,np_5,alph_4,add_letter,2.0,eqpst
7,human,human,np_5,alph_6,succ,4.0,makq
7,human,human,np_5,alph_2,pred,3.0,kanh
7,human,human,np_5,alph_5,remove_redundant,7.0,ywxvi
7,human,human,np_5,alph_3,attn,9.0,aaaa
7,human,human,np_symb,symb_0,pred,8.0,)@=]
7,human,human,np_symb,symb_1,succ,7.0,$!)<
8,human,human,np_symb,symb_0,succ,2.0,=&<!
8,human,human,np_symb,symb_1,pred,2.0,>!+)
8,human,human,np_1,alph_4,attn,6.0,aaaa
8,human,human,np_1,alph_3,add_letter,1.0,mnopq
8,human,human,np_1,alph_0,sort,8.0,vtwsu
8,human,human,np_1,alph_6,remove_redundant,2.0,abcde
8,human,human,np_1,alph_5,succ,5.0,defh
8,human,human,np_1,alph_2,pred,0.0,gijk
8,human,human,np_1,alph_1,fix_alphabet,9.0,stuvw
8,human,human,np_20,alph_6,pred,0.0,ewzl
8,human,human,np_20,alph_1,add_letter,4.0,mhirk
8,human,human,np_20,alph_5,remove_redundant,4.0,ytefb
8,human,human,np_20,alph_0,succ,3.0,stwc
8,human,human,np_20,alph_2,attn,6.0,aaaa
8,human,human,np_20,alph_3,sort,1.0,fzvht
8,human,human,np_20,alph_4,fix_alphabet,4.0,wpcde
9,human,human,np_5,alph_5,fix_alphabet,3.0,jzlmn
9,human,human,np_5,alph_6,succ,0.0,m a k q
9,human,human,np_5,alph_4,add_letter,9.0,i j r l m
9,human,human,np_5,alph_2,pred,9.0,n p m r
9,human,human,np_5,alph_3,remove_redundant,2.0,p n r s t
9,human,human,np_5,alph_0,sort,2.0,q p u r s
9,human,human,np_5,alph_1,attn,8.0,a a a a
9,human,human,np_20,alph_2,fix_alphabet,0.0,l y s o c
9,human,human,np_20,alph_1,attn,2.0,a a a a
9,human,human,np_20,alph_0,sort,5.0,t w m c i
9,human,human,np_20,alph_5,add_letter,8.0,u q v o g
9,human,human,np_20,alph_4,succ,4.0,s j g o
9,human,human,np_20,alph_6,remove_redundant,5.0,j h n a u
9,human,human,np_20,alph_3,pred,3.0,z h t c
9,human,human,np_symb,symb_0,pred,4.0,* = & <
9,human,human,np_symb,symb_1,succ,3.0,+ ) < =
10,human,human,np_5,alph_5,sort,8.0,i
10,human,human,np_5,alph_1,add_letter,4.0,fghij
10,human,human,np_5,alph_4,attn,1.0,aaaa
10,human,human,np_5,alph_6,remove_redundant,4.0,ghijr
10,human,human,np_5,alph_3,pred,5.0,zpnr
10,human,human,np_5,alph_2,succ,5.0,jkln
10,human,human,np_5,alph_0,fix_alphabet,4.0,lmbqp
10,human,human,np_20,alph_4,add_letter,1.0,asjgx
10,human,human,np_20,alph_2,attn,0.0,aaaa
10,human,human,np_20,alph_5,succ,5.0,khlc
10,human,human,np_20,alph_1,fix_alphabet,8.0,djeom
10,human,human,np_20,alph_6,sort,2.0,vwzlo
10,human,human,np_20,alph_3,remove_redundant,0.0,bsdfz
10,human,human,np_20,alph_0,pred,8.0,qfjd
10,human,human,np_symb,symb_0,succ,2.0,=&<!
10,human,human,np_symb,symb_1,pred,2.0,>!+)
11,human,human,np_20,alph_2,pred,3.0,lsoc
11,human,human,np_20,alph_4,sort,0.0,omntk
11,human,human,np_20,alph_6,attn,0.0,a a a a
11,human,human,np_20,alph_3,succ,2.0,pwjx
11,human,human,np_20,alph_0,add_letter,7.0,jdkha
11,human,human,np_20,alph_5,fix_alphabet,5.0,nxjsz
11,human,human,np_20,alph_1,remove_redundant,3.0,uvpnx
11,human,human,np_symb,symb_1,succ,9.0,!+)@
11,human,human,np_symb,symb_0,pred,3.0,*=&<
11,human,human,np_10,alph_1,succ,7.0,bcqf
11,human,human,np_10,alph_0,pred,7.0,dogh
11,human,human,np_10,alph_4,fix_alphabet,5.0,itkzm
11,human,human,np_10,alph_6,remove_redundant,4.0,sdefg
11,human,human,np_10,alph_3,add_letter,9.0,uvwxe
11,human,human,np_10,alph_5,attn,4.0,a a a a
11,human,human,np_10,alph_2,sort,8.0,nopqy
12,human,human,np_5,alph_0,fix_alphabet,3.0,qznrs
12,human,human,np_5,alph_6,pred,5.0,jlma
12,human,human,np_5,alph_5,sort,4.0,zljmn
12,human,human,np_5,alph_2,succ,5.0,jkln
12,human,human,np_5,alph_1,remove_redundant,7.0,rmnlp
12,human,human,np_5,alph_4,add_letter,2.0,eqpst
12,human,human,np_5,alph_3,attn,6.0,a a a a
12,human,human,np_20,alph_3,sort,5.0,ibsdf
12,human,human,np_20,alph_6,add_letter,1.0,iqkcm
12,human,human,np_20,alph_0,fix_alphabet,5.0,unoyq
12,human,human,np_20,alph_1,attn,8.0,a a a a
12,human,human,np_20,alph_4,succ,2.0,mntf
12,human,human,np_20,alph_5,pred,7.0,ebnx
12,human,human,np_20,alph_2,remove_redundant,6.0,bnfmp
12,human,human,np_symb,symb_1,pred,4.0,$+)<
12,human,human,np_symb,symb_0,succ,1.0,$)*=
13,human,human,np_1,alph_1,pred,8.0,npqr
13,human,human,np_1,alph_3,attn,6.0,aaaa
13,human,human,np_1,alph_2,sort,1.0,?????
13,human,human,np_1,alph_6,succ,8.0,jlmn
13,human,human,np_1,alph_0,remove_redundant,3.0,stuvw
13,human,human,np_1,alph_4,fix_alphabet,4.0,lmnop
13,human,human,np_1,alph_5,add_letter,8.0,efghi
13,human,human,np_10,alph_1,remove_redundant,0.0,phrsu
13,human,human,np_10,alph_2,sort,1.0,drjkl
13,human,human,np_10,alph_6,add_letter,2.0,absde
13,human,human,np_10,alph_4,fix_alphabet,1.0,efaqi
13,human,human,np_10,alph_0,pred,4.0,prst
13,human,human,np_10,alph_5,attn,8.0,aaaa
13,human,human,np_10,alph_3,succ,8.0,bdjn
13,human,human,np_symb,symb_1,pred,6.0,<=*
13,human,human,np_symb,symb_0,succ,8.0,)@=&
14,human,human,np_2,alph_6,attn,4.0,a a a a
14,human,human,np_2,alph_1,fix_alphabet,9.0,r s t u v
14,human,human,np_2,alph_0,add_letter,2.0,e f g h i
14,human,human,np_2,alph_3,sort,3.0,n o p y r
14,human,human,np_2,alph_4,succ,9.0,u v w y
14,human,human,np_2,alph_2,pred,4.0,v x y z
14,human,human,np_2,alph_5,remove_redundant,6.0,c d e l g
14,human,human,np_symb,symb_1,succ,0.0,+ ) < =
14,human,human,np_symb,symb_0,pred,2.0,@ & < +
14,human,human,np_1,alph_5,succ,7.0,g h i k
14,human,human,np_1,alph_6,pred,8.0,p r s t
14,human,human,np_1,alph_1,attn,0.0,a a a a
14,human,human,np_1,alph_2,fix_alphabet,7.0,h i j k l
14,human,human,np_1,alph_4,add_letter,1.0,n o p q r
14,human,human,np_1,alph_3,sort,6.0,e f g h i
14,human,human,np_1,alph_0,remove_redundant,4.0,r s t u v
15,human,human,np_symb,symb_0,succ,1.0,$)*@
15,human,human,np_symb,symb_1,pred,3.0,$!+)
15,human,human,np_20,alph_6,succ,8.0,pjha
15,human,human,np_20,alph_2,remove_redundant,5.0,mmphw
15,human,human,np_20,alph_0,fix_alphabet,7.0,zbper
15,human,human,np_20,alph_5,sort,9.0,nxjsz
15,human,human,np_20,alph_3,add_letter,2.0,htcrl
15,human,human,np_20,alph_4,pred,6.0,xmnt
15,human,human,np_20,alph_1,attn,5.0,aaaa
15,human,human,np_10,alph_5,succ,8.0,dbfr
15,human,human,np_10,alph_0,add_letter,9.0,wvbxz
15,human,human,np_10,alph_4,pred,4.0,eaqi
15,human,human,np_10,alph_2,fix_alphabet,2.0,ystux
15,human,human,np_10,alph_1,remove_redundant,1.0,hrsud
15,human,human,np_10,alph_6,attn,3.0,aaaa
15,human,human,np_10,alph_3,sort,5.0,amcpz
16,human,human,np_20,alph_5,succ,9.0,uqvg
16,human,human,np_20,alph_0,attn,3.0,aaaa
16,human,human,np_20,alph_2,remove_redundant,1.0,atuvr
16,human,human,np_20,alph_6,sort,8.0,vwzlo
16,human,human,np_20,alph_4,pred,1.0,kiuv
16,human,human,np_20,alph_1,fix_alphabet,7.0,abgzy
16,human,human,np_20,alph_3,add_letter,1.0,sdfv
16,human,human,np_symb,symb_1,pred,3.0,&$ ! +
16,human,human,np_symb,symb_0,succ,8.0,) * @&
16,human,human,np_5,alph_1,remove_redundant,0.0,stuvw
16,human,human,np_5,alph_4,succ,8.0,noep
16,human,human,np_5,alph_0,pred,9.0,bpur
16,human,human,np_5,alph_3,add_letter,6.0,gcdef
16,human,human,np_5,alph_5,attn,2.0,aaaa
16,human,human,np_5,alph_2,fix_alphabet,4.0,anhpm
16,human,human,np_5,alph_6,sort,1.0,ijrlm
17,human,human,np_5,alph_2,pred,9.0,npmr
17,human,human,np_5,alph_6,attn,0.0,aaaa
17,human,human,np_5,alph_5,sort,6.0,yuxwv
17,human,human,np_5,alph_3,fix_alphabet,3.0,vwxyb
17,human,human,np_5,alph_1,succ,1.0,cdog
17,human,human,np_5,alph_4,add_letter,5.0,abcdf
17,human,human,np_5,alph_0,remove_redundant,0.0,ghijk
17,human,human,np_symb,symb_0,succ,8.0,)*@&
17,human,human,np_symb,symb_1,pred,0.0,+<@=
17,human,human,np_2,alph_4,sort,0.0,fecdg
17,human,human,np_2,alph_3,succ,9.0,lmnp
17,human,human,np_2,alph_1,remove_redundant,7.0,ijkbm
17,human,human,np_2,alph_6,add_letter,2.0,dmfgh
17,human,human,np_2,alph_2,fix_alphabet,6.0,klmno
17,human,human,np_2,alph_0,attn,5.0,aaaa
17,human,human,np_2,alph_5,pred,4.0,jfmn
18,human,human,np_symb,symb_1,succ,7.0,$!+<
18,human,human,np_symb,symb_0,pred,2.0,@&<+
18,human,human,np_5,alph_4,attn,6.0,aaaa
18,human,human,np_5,alph_6,remove_redundant,8.0,ostuv
18,human,human,np_5,alph_2,fix_alphabet,8.0,rstuv
18,human,human,np_5,alph_3,sort,5.0,jihqf
18,human,human,np_5,alph_0,succ,2.0,klmq
18,human,human,np_5,alph_5,add_letter,5.0,bcdef
18,human,human,np_5,alph_1,pred,0.0,cofg
18,human,human,np_1,alph_1,pred,1.0,tvwx
18,human,human,np_1,alph_4,succ,7.0,opqs
18,human,human,np_1,alph_6,remove_redundant,6.0,lmnop
18,human,human,np_1,alph_0,attn,1.0,aaaa
18,human,human,np_1,alph_3,add_letter,8.0,stuvw
18,human,human,np_1,alph_2,fix_alphabet,3.0,cdefg
18,human,human,np_1,alph_5,sort,7.0,klmno
19,human,human,np_1,alph_4,remove_redundant,1.0,tuvwx
19,human,human,np_1,alph_0,sort,0.0,plnmo
19,human,human,np_1,alph_1,attn,8.0,aaaa
19,human,human,np_1,alph_3,succ,7.0,lmnp
19,human,human,np_1,alph_5,pred,5.0,jlmn
19,human,human,np_1,alph_2,fix_alphabet,1.0,lkyiy
19,human,human,np_1,alph_6,add_letter,1.0,fghij
19,human,human,np_symb,symb_0,pred,7.0,)@=&
19,human,human,np_symb,symb_1,succ,1.0,&>$+
19,human,human,np_10,alph_1,fix_alphabet,7.0,tjxpc
19,human,human,np_10,alph_4,succ,4.0,hnsu
19,human,human,np_10,alph_5,sort,0.0,eacdb
19,human,human,np_10,alph_6,attn,6.0,aaaa
19,human,human,np_10,alph_3,add_letter,8.0,jnolq
19,human,human,np_10,alph_2,pred,3.0,txaw
19,human,human,np_10,alph_0,remove_redundant,8.0,nkklm
20,human,human,np_20,alph_3,pred,3.0,zhtc
20,human,human,np_20,alph_1,sort,0.0,hwymz
20,human,human,np_20,alph_2,succ,0.0,fmph
20,human,human,np_20,alph_6,attn,7.0,aaaa
20,human,human,np_20,alph_0,remove_redundant,4.0,unoyq
20,human,human,np_20,alph_4,fix_alphabet,3.0,ntkfi
20,human,human,np_20,alph_5,add_letter,4.0,mpduq
20,human,human,np_symb,symb_0,succ,4.0,*@=<
20,human,human,np_symb,symb_1,pred,9.0,&$!+
20,human,human,np_5,alph_4,add_letter,3.0,jrlmn
20,human,human,np_5,alph_5,pred,8.0,hjzl
20,human,human,np_5,alph_3,sort,4.0,acedg
20,human,human,np_5,alph_2,fix_alphabet,6.0,oijkl
20,human,human,np_5,alph_0,succ,8.0,urso
20,human,human,np_5,alph_1,attn,9.0,aaaa
20,human,human,np_5,alph_6,remove_redundant,1.0,makpq
21,human,human,np_5,alph_0,fix_alphabet,8.0,ancde
21,human,human,np_5,alph_5,remove_redundant,2.0,ghkjz
21,human,human,np_5,alph_6,succ,0.0,makq
21,human,human,np_5,alph_3,pred,2.0,tvwx
21,human,human,np_5,alph_4,sort,5.0,hijr
21,human,human,np_5,alph_1,add_letter,6.0,pqxt
21,human,human,np_5,alph_2,attn,6.0,aaaa
21,human,human,np_20,alph_0,pred,2.0,mixv
21,human,human,np_20,alph_6,succ,9.0,vwzo
21,human,human,np_20,alph_4,fix_alphabet,5.0,tkfiu
21,human,human,np_20,alph_5,add_letter,1.0,bnxjs
21,human,human,np_20,alph_1,attn,2.0,aaaa
21,human,human,np_20,alph_3,sort,1.0,fcvht
21,human,human,np_20,alph_2,remove_redundant,1.0,atuvr
21,human,human,np_symb,symb_0,pred,0.0,$)*@
21,human,human,np_symb,symb_1,succ,1.0,&>$+
22,human,human,np_symb,symb_0,succ,9.0,)*@&
22,human,human,np_symb,symb_1,pred,9.0,&$!+
22,human,human,np_5,alph_2,succ,2.0,hpms
22,human,human,np_5,alph_5,attn,1.0,aaaa
22,human,human,np_5,alph_0,pred,0.0,dfgh
22,human,human,np_5,alph_1,remove_redundant,4.0,xstuv
22,human,human,np_5,alph_6,fix_alphabet,1.0,jkpgo
22,human,human,np_5,alph_4,add_letter,1.0,uvwxy
22,human,human,np_5,alph_3,sort,3.0,vwxyb
22,human,human,np_10,alph_1,sort,0.0,fgyio
22,human,human,np_10,alph_2,fix_alphabet,7.0,pqyst
22,human,human,np_10,alph_0,succ,0.0,vbxj
22,human,human,np_10,alph_4,attn,1.0,aaaa
22,human,human,np_10,alph_5,pred,2.0,mnhq
22,human,human,np_10,alph_3,remove_redundant,1.0,lqrst
22,human,human,np_10,alph_6,add_letter,0.0,qtyru
23,human,human,np_10,alph_2,pred,9.0,qstu
23,human,human,np_10,alph_6,add_letter,4.0,defgo
23,human,human,np_10,alph_4,remove_redundant,7.0,tkzml
23,human,human,np_10,alph_1,attn,4.0,aaaa
23,human,human,np_10,alph_3,sort,9.0,cmzpf
23,human,human,np_10,alph_0,succ,3.0,qcdo
23,human,human,np_10,alph_5,fix_alphabet,9.0,acdbf
23,human,human,np_symb,symb_0,succ,7.0,)*@&
23,human,human,np_symb,symb_1,pred,8.0,>!+)
23,human,human,np_2,alph_3,fix_alphabet,0.0,vwxaz
23,human,human,np_2,alph_0,sort,5.0,wxtvb
23,human,human,np_2,alph_1,remove_redundant,7.0,ijkbm
23,human,human,np_2,alph_5,pred,4.0,jgmn
23,human,human,np_2,alph_4,succ,8.0,pqrt
23,human,human,np_2,alph_2,add_letter,0.0,wtuvs
23,human,human,np_2,alph_6,attn,4.0,aaaa
24,human,human,np_5,alph_3,attn,6.0,a a a a
24,human,human,np_5,alph_6,pred,3.0,m k p q
24,human,human,np_5,alph_1,remove_redundant,8.0,k m n l l
24,human,human,np_5,alph_0,add_letter,0.0,g h i j k
24,human,human,np_5,alph_5,fix_alphabet,9.0,j w x a i
24,human,human,np_5,alph_4,succ,1.0,f k g i
24,human,human,np_5,alph_2,sort,3.0,o g f j i
24,human,human,np_symb,symb_0,pred,4.0,* = & <
24,human,human,np_symb,symb_1,succ,7.0,$ ! + <
24,human,human,np_2,alph_5,add_letter,3.0,k f m n o
24,human,human,np_2,alph_2,sort,9.0,h g f j i
24,human,human,np_2,alph_3,succ,5.0,s t u w
24,human,human,np_2,alph_6,remove_redundant,4.0,b c c m f
24,human,human,np_2,alph_0,pred,9.0,a c d e
24,human,human,np_2,alph_1,attn,8.0,a a a a 
24,human,human,np_2,alph_4,fix_alphabet,0.0,d e x g p
25,human,human,np_symb,symb_0,succ,8.0,)*=&
25,human,human,np_symb,symb_1,pred,2.0,>!+)
25,human,human,np_10,alph_3,fix_alphabet,1.0,jnolq
25,human,human,np_10,alph_5,pred,5.0,hlst
25,human,human,np_10,alph_1,succ,5.0,sudw
25,human,human,np_10,alph_4,sort,4.0,ophns
25,human,human,np_10,alph_2,add_letter,8.0,mnopq
25,human,human,np_10,alph_0,remove_redundant,6.0,lmufp
25,human,human,np_10,alph_6,attn,9.0,aaaa
25,human,human,np_20,alph_6,succ,1.0,hnad
25,human,human,np_20,alph_0,add_letter,4.0,twmci
25,human,human,np_20,alph_4,attn,3.0,aaaa
25,human,human,np_20,alph_2,sort,3.0,ruvjx
25,human,human,np_20,alph_5,pred,9.0,fnxj
25,human,human,np_20,alph_1,remove_redundant,7.0,dtsje
25,human,human,np_20,alph_3,fix_alphabet,5.0,xuqny
26,human,human,np_2,alph_2,sort,2.0,kjlmn
26,human,human,np_2,alph_5,succ,0.0,kjfn
26,human,human,np_2,alph_0,pred,9.0,acde
26,human,human,np_2,alph_6,fix_alphabet,0.0,ghijk
26,human,human,np_2,alph_1,remove_redundant,9.0,ghijk
26,human,human,np_2,alph_3,attn,3.0,aaaa
26,human,human,np_2,alph_4,add_letter,9.0,abfde
26,human,human,np_1,alph_1,add_letter,1.0,ijklm
26,human,human,np_1,alph_5,pred,8.0,gijk
26,human,human,np_1,alph_2,remove_redundant,9.0,mnopq
26,human,human,np_1,alph_4,sort,1.0,khgji
26,human,human,np_1,alph_3,fix_alphabet,2.0,defgh
26,human,human,np_1,alph_6,succ,9.0,stuw
26,human,human,np_1,alph_0,attn,3.0,aaaa
26,human,human,np_symb,symb_0,succ,6.0,@=&+
26,human,human,np_symb,symb_1,pred,9.0,&$!+
27,human,human,np_1,alph_3,sort,8.0,mnopq
27,human,human,np_1,alph_5,succ,8.0,bcdf
27,human,human,np_1,alph_1,fix_alphabet,0.0,ijklm
27,human,human,np_1,alph_6,add_letter,9.0,efghi
27,human,human,np_1,alph_4,pred,2.0,tvwx
27,human,human,np_1,alph_0,remove_redundant,5.0,ghijk
27,human,human,np_1,alph_2,attn,5.0,aaaa
27,human,human,np_symb,symb_1,pred,3.0,&$!+
27,human,human,np_symb,symb_0,succ,0.0,)*@&
27,human,human,np_2,alph_1,pred,1.0,acde
27,human,human,np_2,alph_6,add_letter,8.0,fghij
27,human,human,np_2,alph_5,attn,3.0,aaaa
27,human,human,np_2,alph_3,succ,2.0,rstv
27,human,human,np_2,alph_0,fix_alphabet,2.0,a u c d e
27,human,human,np_2,alph_2,remove_redundant,6.0,uvsxy
